individual,substrate,dS,dL,predator,species,locality,morph
ESQ5,LeafLitter,1.149000753,4.3687258,crab,granulifera,ESQ,green
ESQ7,LeafLitter,0.998949467,2.3548893,crab,granulifera,ESQ,green
ESQ1,trunk,0.963444419,2.5424873,crab,granulifera,ESQ,green
ESQ2,trunk,0.174189865,0.7840943,crab,granulifera,ESQ,green
ESQ3,trunk,2.465811447,6.293031,crab,granulifera,ESQ,green
ESQ4,trunk,1.296672684,2.0643773,crab,granulifera,ESQ,green
ESQ5,trunk,1.307215759,3.2597253,crab,granulifera,ESQ,green
ESQ7,trunk,1.157164473,1.2458888,crab,granulifera,ESQ,green
ESQ1,GreenLeaf,2.743195797,4.1940704,lizard,granulifera,ESQ,green
ESQ2,GreenLeaf,1.661693061,1.1567849,lizard,granulifera,ESQ,green
ESQ3,GreenLeaf,3.398412339,7.3632091,lizard,granulifera,ESQ,green
ESQ4,GreenLeaf,2.24236727,3.4910261,lizard,granulifera,ESQ,green
ESQ5,GreenLeaf,2.173841121,4.5768169,lizard,granulifera,ESQ,green
ESQ7,GreenLeaf,2.375348648,2.7043814,lizard,granulifera,ESQ,green
ESQ1,LeafLitter,1.183094203,2.7976876,lizard,granulifera,ESQ,green
ESQ2,LeafLitter,1.714318452,0.2395978,lizard,granulifera,ESQ,green
ESQ3,LeafLitter,1.274704296,5.9668264,lizard,granulifera,ESQ,green
ESQ4,LeafLitter,0.865288482,2.0946434,lizard,granulifera,ESQ,green
ESQ5,LeafLitter,0.915510667,3.1804342,lizard,granulifera,ESQ,green
ESQ7,LeafLitter,0.991688411,1.3079987,lizard,granulifera,ESQ,green
ESQ1,trunk,1.261390901,1.6921857,lizard,granulifera,ESQ,green
ESQ2,trunk,1.451405903,1.3450997,lizard,granulifera,ESQ,green
ESQ3,trunk,1.553963355,4.8613245,lizard,granulifera,ESQ,green
ESQ4,trunk,0.793245326,0.9891415,lizard,granulifera,ESQ,green
ESQ5,trunk,0.806423917,2.0749323,lizard,granulifera,ESQ,green
ESQ7,trunk,0.96525068,0.2024967,lizard,granulifera,ESQ,green
PAL1,GreenLeaf,15.20737746,5.797884,bird,granulifera,PAL,red
PAL2,GreenLeaf,14.56163979,6.1012254,bird,granulifera,PAL,red
PAL3,GreenLeaf,9.579106281,5.1317668,bird,granulifera,PAL,red
PAL4,GreenLeaf,16.2671175,11.1723688,bird,granulifera,PAL,red
PAL5,GreenLeaf,6.817658017,1.1633514,bird,granulifera,PAL,red
PAL6,GreenLeaf,12.49302865,17.543388,bird,granulifera,PAL,red
PAL7,GreenLeaf,12.46592912,0.4530781,bird,granulifera,PAL,red
PAL8,GreenLeaf,14.69539359,15.7132863,bird,granulifera,PAL,red
PAL1,LeafLitter,10.86663586,1.9221535,bird,granulifera,PAL,red
PAL2,LeafLitter,10.23579257,2.2254949,bird,granulifera,PAL,red
PAL3,LeafLitter,5.234129657,1.2560363,bird,granulifera,PAL,red
PAL4,LeafLitter,11.87484919,7.2966383,bird,granulifera,PAL,red
PAL5,LeafLitter,2.827273288,2.7123791,bird,granulifera,PAL,red
PAL6,LeafLitter,8.072545869,13.6676575,bird,granulifera,PAL,red
PAL7,LeafLitter,7.984758913,4.3288086,bird,granulifera,PAL,red
PAL8,LeafLitter,10.29784329,11.8375558,bird,granulifera,PAL,red
PAL1,trunk,11.45599723,0.1251512,bird,granulifera,PAL,red
PAL2,trunk,10.82074322,0.1781902,bird,granulifera,PAL,red
PAL3,trunk,5.8251922,0.7912684,bird,granulifera,PAL,red
PAL4,trunk,12.47818577,5.2493336,bird,granulifera,PAL,red
PAL5,trunk,3.306892566,4.7596838,bird,granulifera,PAL,red
PAL6,trunk,8.684512759,11.6203528,bird,granulifera,PAL,red
PAL7,trunk,8.608344786,6.3761133,bird,granulifera,PAL,red
PAL8,trunk,10.90122217,9.7902511,bird,granulifera,PAL,red
PAL1,GreenLeaf,6.555759945,2.1275019,crab,granulifera,PAL,red
PAL2,GreenLeaf,6.405721467,2.4123359,crab,granulifera,PAL,red
PAL3,GreenLeaf,2.698915921,1.5911363,crab,granulifera,PAL,red
PAL4,GreenLeaf,6.639170766,4.4638217,crab,granulifera,PAL,red
PAL5,GreenLeaf,1.272367557,0.3448705,crab,granulifera,PAL,red
PAL6,GreenLeaf,4.111525726,7.493225,crab,granulifera,PAL,red
PAL7,GreenLeaf,4.523142509,1.273537,crab,granulifera,PAL,red
PAL8,GreenLeaf,5.780416651,6.9167317,crab,granulifera,PAL,red
PAL1,LeafLitter,5.259540711,0.6297685,crab,granulifera,PAL,red
PAL2,LeafLitter,5.109502232,0.9146024,crab,granulifera,PAL,red
PAL3,LeafLitter,1.402696687,0.0934028,crab,granulifera,PAL,red
PAL4,LeafLitter,5.342951532,2.9660882,crab,granulifera,PAL,red
PAL5,LeafLitter,0.023851677,1.8426039,crab,granulifera,PAL,red
PAL6,LeafLitter,2.815306492,5.9954915,crab,granulifera,PAL,red
PAL7,LeafLitter,3.226923275,2.7712705,crab,granulifera,PAL,red
PAL8,LeafLitter,4.484197416,5.4189983,crab,granulifera,PAL,red
PAL1,trunk,5.417755717,0.479232,crab,granulifera,PAL,red
PAL2,trunk,5.267717238,0.1943981,crab,granulifera,PAL,red
PAL3,trunk,1.560911693,1.0155977,crab,granulifera,PAL,red
PAL4,trunk,5.501166537,1.8570877,crab,granulifera,PAL,red
PAL5,trunk,0.134363329,2.9516044,crab,granulifera,PAL,red
PAL6,trunk,2.973521498,4.8864911,crab,granulifera,PAL,red
PAL7,trunk,3.385138281,3.880271,crab,granulifera,PAL,red
PAL8,trunk,4.642412422,4.3099978,crab,granulifera,PAL,red
PAL1,GreenLeaf,9.450321182,1.1762178,lizard,granulifera,PAL,red
PAL2,GreenLeaf,9.011230593,1.408578,lizard,granulifera,PAL,red
PAL3,GreenLeaf,4.863133297,1.439104,lizard,granulifera,PAL,red
