wl,PAL.LeafLitter.1,PAL.LeafLitter.2,PAL.LeafLitter,PAL.LeafLitter,PAL.trunk.1,PAL.trunk.2,PAL.trunk,PAL.trunk,PAL.GreenLeaf,PAL.GreenLeaf,SAN.GreenLeaf,SAN.GreenLeaf,SAN.trunk,SAN.trunk,SAN.trunk,SAN.trunk,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,DAM.trunk,DAM.trunk,DAM.trunk,DAM.trunk,DAM.GreenLeaf,DAM.GreenLeaf,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.trunk,ESQ.trunk,ESQ.trunk,ESQ.trunk
193.941,0.66,44.54,83.96,100.11,5.23,16.92,-48.1,66.47,-46.47,-24.1,-704,284,-1603.29,-1603.29,-1613.82,-1796.16,176.271,113.559,-41.51,-55.13,-117.647,8.824,657.14,-1500,33.15,2326.316,-605.714,-125.333,31.35,-34.66,31.91,1110.89,63.67,80.32,22.51,116.25,115.94,121.26,21.88,-17.81,149.69,634.29,777.14,185.64,134.69
194.419,9.08,45.71,104.15,139.6,-39.61,19.73,-95.57,52.59,-145.8,-24.22,-2957.143,341.27,-1527.19,-1527.19,-2095.19,-1843.18,217.949,164.103,58.91,-25.82,-264.706,-5.882,18,214,111.07,4540,-1692.308,-103.175,-43.51,-252.74,-20.05,145.02,19.34,129.47,107.16,303.56,359.81,346.44,305.35,-179.43,384.82,202.75,221.1,416.08,441.93
194.898,-98.49,181.13,87.91,70.01,-154.14,22.63,-238.45,13.01,813.81,256.98,-2500,171.134,-369.63,-369.63,-536.08,-478.42,254.737,166.316,80.97,-8.03,-175,105,550,1266.667,-966.11,-1480,-471.795,-63.918,950.02,1642.33,637.68,99.57,46.5,-36.72,-43.74,28.14,152.36,153.16,367.24,-382.05,74.25,252.69,238.71,276.61,186.73
195.376,-43.49,101.93,-17.46,-19.52,-204.01,34.34,-175.04,-28.12,141.42,131.53,1165,223.81,-143.23,-143.23,-192.04,-212.56,445.455,276.364,98.78,12.54,241.667,-175,621.05,1063.158,-11.97,-588.732,907.692,-32.143,179.22,255.59,167.84,66.14,37.44,-5.51,8.83,36.77,71.7,101.49,161.05,-85.66,70.23,393.22,366.1,100.75,81.99
195.854,6.47,67.14,-36.21,-22.65,-149.76,41.24,-176.48,-26.26,118.7,130.06,1746.154,489.831,-242.82,-242.82,-349.44,-406.27,685.714,400,108.65,29.01,117.073,17.073,162.86,282.857,32.55,-605.556,6175,52.542,119.75,191.46,138.4,56.53,54.89,-38.22,-1.92,-14.42,69.96,20.2,59.14,-67.55,-19.47,226.92,180.77,54.34,34.37
196.332,65.9,69.21,-11.96,-28.1,-205.71,17.3,-232.03,-119.46,131.69,155.51,7600,18900,-398.88,-398.88,-788.86,-861.23,623.81,404.762,118.65,60.31,45.098,-19.608,224.29,341.429,25.46,-781.356,2114.286,-1100,119.73,219.92,149.19,25.24,39.8,-21.99,31.48,-17.59,74.77,56.49,71.77,-28.01,-74.3,316.52,185.22,52.32,-44.67
196.81,-209.62,-42.43,-466.17,-246.3,-1033.63,-208.75,-1096.83,-917.76,157.86,190.58,4100,-365.854,-306.31,-306.31,-1012.91,-919.05,4683.333,3250,125.49,60.92,25,54.687,327.66,485.106,26.17,-880,1441.667,207.317,116.14,270.37,191.67,-6.6,54.09,-7.75,14,-39,76.75,97,97.51,17.75,-88.25,297.54,172.95,-43.5,-88.25
197.288,140.69,100.42,328.59,151.72,533.6,164.52,585.31,480.34,134.38,125.72,1000,-459.459,-147.87,-147.87,-562.35,-535.92,-937.037,-718.519,130.01,41.64,18.75,152.083,-324.32,-489.189,32.83,-741.27,810.526,189.189,68.46,191.11,145.36,-64.74,100.64,-27.75,-38,-59,48.75,141.01,81.51,13.75,-148.25,357.14,267.14,-23.5,-104.25
197.766,29.85,145.43,259.31,96.29,478.16,95.24,637.24,466.47,100.26,93.59,1742.857,-212.963,411.82,411.82,1986.6,1387.1,-628.947,-528.947,133.36,7.02,285.714,-1071.429,-56.62,-60.294,28.1,-614.286,248.333,224.074,45.73,148.65,104.97,-84.61,114.31,-3.35,-26.79,-66.97,89.96,129.47,122.78,44.42,-128.8,374.07,346.3,-10.27,-82.37
198.244,19.36,-476.44,-797.15,-333.64,-1542.68,-77.04,-2466.84,-2028.03,95.15,79.93,1219.048,-326.923,110.12,110.12,481.22,243.32,-237.634,-209.677,146.33,-40.45,97.826,-84.783,-47.53,-59.877,36.3,-469.412,448.077,542.308,49.62,121.46,86.42,-94.48,96.57,32.81,-8.66,10.1,88.82,81.25,127.65,68.15,-40.51,1088.89,1027.78,-15.14,-46.27
198.722,170.77,205.03,302.82,182.32,316.61,121.47,423.44,418.29,96.91,74.89,22800,-252.5,146.59,146.59,360,196.85,-223.301,-205.825,100.96,-56.45,113.333,-133.333,-61.88,-72.277,25.2,-269.065,12750,325,35.22,99.95,66.81,-60.81,68.53,23.05,-18.85,34.84,80.64,46.31,121.93,63.01,4.82,-182.09,-216.42,-3.07,-21.41
199.2,395.72,538.52,794.61,658.39,755.28,329.68,1067.01,894.33,106.69,81.37,-5450,-140.323,125.58,125.58,361.07,182.22,-290.361,-315.663,73.52,-74.32,14.925,-110.448,-52.22,-81.773,22.34,-196.45,348.75,280.645,38.06,100.3,69.94,-57.9,55.06,37.2,-2.42,47.18,93.85,60.08,150.61,84.58,11.19,-315.07,-313.7,22.78,-24.29
199.677,-1109.03,-4694.07,-7880.61,-5389.58,-4462.6,-633.75,-8355.9,-6651.35,111.33,91.49,-19300,-20,101.42,101.42,251.05,138.03,-185.714,-1.97E+02,24.34,-231.16,16.393,-46.721,-23.5,-26.267,29.44,-109.692,316.279,184.8,35.41,86.3,81.54,-90.62,41.72,34.37,-27.86,36.07,71.7,30.36,129.11,79.2,-10.09,-240,-223.33,8.75,-41.52
200.155,-2.15,-511.48,-617.47,-232.8,-226.79,-63.51,-511.5,-462.36,109.55,76.93,-1011.111,13.873,118.56,118.56,238.33,142.47,-116.667,-130.128,143.97,636.85,21.053,-82.456,2.81,-14.056,32.51,-106.341,323.944,152.601,19.67,65.92,67.7,-839.04,44.83,50.07,12.23,63.03,92.75,55.58,104.66,88.76,41.42,-118.47,-129.94,29.92,-3.26
200.633,-203.78,-1945.8,-1974.21,-561.2,-860.02,-271.64,-1689.03,-1508.15,101.79,27.74,-514.706,-21.429,103.83,103.83,190.71,120.69,-128.966,-130.345,180.21,345.71,36,-114,-9.64,-3.929,3.03,-103.98,284.932,190,-26.52,40.17,27.89,237.45,16.54,59.86,18.04,57.99,99.16,44.59,129.25,86.02,37.05,-75.66,-94.18,40.34,-1.09
201.111,-13.07,-1023.61,-883.88,-242.58,-298.49,22.34,-760.28,-699.1,119.22,-7.55,-1280,8.14,114.54,114.54,191.75,119.67,-64.455,-75.355,1074.85,1426.32,35.227,-54.545,2.93,0.88,-23.58,-62.753,128.235,155.814,-54.8,27.17,2.76,141.63,81.67,64.84,21.02,50.28,94.53,45.74,159.52,94.81,37.43,-34.43,-67.93,37.64,-21.66
201.589,-58.26,-654.51,-446.79,-169.2,-142.95,-33.67,-409.42,-387.04,105.38,-6.32,-524.324,25,117.64,117.64,204.74,136.61,-60.081,-42.339,-354.86,-650.45,15,-61.875,10.59,10.794,-23.67,-45.174,84.337,150.694,-35.71,20.48,-2.77,117.24,78.81,50.59,43.68,65.52,104.41,53.95,150.92,108.88,62.04,-1.61,-62.65,59.08,-13.75
202.066,-1.77,-268.1,-139.9,-63.85,-56.52,-29.85,-170.42,-128.84,75.68,-7.19,-531.579,13.6,110.7,110.7,176.62,135.1,-33.129,-10.429,-131.1,-292.68,-18.28,-117.204,-7.33,-2.222,-4.74,-35.145,100.99,96.8,-24.3,12.46,-10.36,89.54,70.25,46.14,57.35,65.93,80.58,49.26,148.41,84.74,56.8,-33.01,-98.03,54.05,-6.92
202.544,8.95,-154.21,-68.7,-10.01,-21.77,-4.71,-104.98,-54.08,84.54,-3.5,-731.034,-6.818,106.2,106.2,168.46,134.34,-26.316,0.526,-15.25,-100.16,-13.725,-103.922,-10.5,-7.087,-17.48,-45.525,114.583,92.424,-5.29,19.92,-12.34,56.8,71.24,45.81,58.9,65.46,78.97,38.35,146.08,84.27,67.75,-43.72,-126.78,56.04,11.81
203.022,-7.53,-92.21,-35.27,-12.05,-19.92,-4.7,-70.67,-42.35,101.9,-29.15,-727.273,-3.101,128.83,128.83,171.05,156.5,-20.631,16.505,12.81,-40.64,-38.462,-135.385,-6.89,-25.344,-68.41,-85.714,163.636,88.372,19.78,24.05,-22.98,42.17,63.3,33.38,58.13,71.75,61.13,30.28,133.64,76.78,73.93,-20.28,-71.82,48.07,11.33
203.5,-10.41,-67.14,-18.62,-4.96,-23.76,-6.31,-44.93,-23.07,53.21,-235.76,-855.556,-166,143.71,143.71,150.22,169.61,-9.8,22.272,17.46,-35.07,4.688,-123.437,-8.43,-25.843,-281.43,-84.834,415.789,62,-90.96,-57.78,-116.64,21.38,50.98,25.86,56.05,65.52,61.44,34.07,131.76,69.71,74.14,-41.7,-73.68,46.88,20.92
203.977,11.3,-39.03,6.42,5.65,-6,11.75,-21.9,-13.82,-59.13,-251.53,-1562.5,-331.429,143.34,143.34,168.87,208.11,-5.979,25.567,11.76,-48.87,9.184,-82.653,7.57,-9.661,-276.82,-73.636,93.103,-102.857,-85.43,-68.22,-76.64,19.18,34.88,19.9,54.78,39.89,58.23,26.65,117.19,70.17,58.78,-66.18,-105.31,30.97,22.01
204.455,4.49,-45.44,12.29,-1.12,-3.19,14.42,-21.34,-24.77,-32.37,-113.19,-1706.25,-379.487,106.76,106.76,146.59,213.24,-3.942,36.722,28.15,-22.48,25,-63.889,-1,-9.701,-127.26,-88.038,89,-141.026,-12.95,-41.61,-41.81,36.42,23.47,13.84,47.93,36.03,47.03,25.69,105.78,65.13,56.51,-31.43,-73.06,25.6,22.71
204.933,-16.52,-46.49,0.82,-4.19,-19.01,3.29,-26.74,-37.46,-29.04,-101.2,1966.667,-2900,140.08,140.08,179.8,235.17,-2.994,36.926,41.19,-6.4,1.053,-71.579,4.79,-34.043,-98.88,-167.361,113.793,-1528.571,-6.08,-40.46,-39.17,46.57,16.74,19.56,64.2,54.59,47.45,38.02,97.86,68.31,53.22,-57.44,-117.36,33.8,41.38
205.41,-10.04,-32.27,6,-3.45,-21.77,9.29,-25.61,-30.76,6.49,-54.64,828.947,648,163.05,163.05,216.24,257.63,-10.408,36.327,46.67,3.44,-36.957,-42.391,-23.79,-31.833,-63.91,-172.464,135.185,420,36.16,7.25,14.16,53.09,12.22,17.43,66.15,61.65,50.43,37.42,97.13,82.26,44.68,-83.76,-135.47,39.21,52.14
205.888,0.12,-19.56,24.87,-4.29,-5.3,7.29,-16.46,-17.91,43.6,-26.85,1089.655,192.105,155.61,155.61,227.16,223.3,-7.46,39.718,53.5,13.82,-41.509,-39.623,-13.72,-40.433,-31.48,-181.25,163.068,134.211,93.25,34.84,48.36,49.21,9.56,20.75,57.69,59.91,52.78,51.63,82.47,74.22,49.66,-87.65,-126.34,40.9,67.42
206.365,-8.76,-15.97,22.21,-0.54,-9.48,11.09,-17.16,-21.79,50.97,-40.83,2078.571,163.291,107.82,107.82,172.69,172.54,-6.944,37.897,64.52,20.35,-82.857,-87.143,-59.52,-87.619,-15.53,-325,166.376,100,99.01,20.58,55.84,40.43,14.03,26.63,61.56,74.71,59.07,64.31,75.36,82.33,47.36,-89.75,-117.31,41.69,88.99
206.843,-23.81,-7.88,17.3,4.29,-4.87,18.32,-17.27,-17.48,52.14,-35.81,835.294,210.37,97.98,97.98,143.58,151.88,-3.006,32.866,71.91,18.81,-125.455,-161.818,-130.77,-137.607,-0.48,-317.143,161.132,117.037,101.56,6.14,61.6,28.26,1.83,30.15,55.97,71.74,56.36,64.35,72.37,71.27,55.08,-91.78,-121.23,30.75,97.13
207.32,-18.37,-2.2,19.15,4.44,-4.72,18.64,-8.78,-14.63,52.43,-60.92,590.698,173.973,109.34,109.34,174.96,161.88,-7.82,27.488,78.47,28.74,-26.364,-79.091,-20.9,-40.113,-25.89,-211.111,127.413,39.726,110.22,-9.36,59.23,19.55,-0.43,24.43,50.31,66.01,60.48,62.35,75.23,68.56,59.72,-106.84,-152.85,31.17,104.23
207.798,-16.28,3.4,26.03,-2.42,-4.35,19.96,-7.43,-20.33,36.8,-59.27,728.125,152.903,102.78,102.78,187.36,153.33,-17.291,15.274,91.24,26.99,-33.333,-74.286,-15.17,-28.436,-19.29,-86.232,116.736,23.871,112.55,-30.9,58.65,16.41,5.4,23.79,47.19,67.66,66.99,67.03,73.36,70.27,54.96,-108.98,-148.44,20.08,95.59
208.275,-15.91,0.36,23.39,-3.95,-8.05,23.89,-8.39,-29.07,28.95,-48.46,666.667,183.893,106.95,106.95,188.75,157.97,-43.772,-2.135,94.86,9.27,-80.556,-141.667,-38.03,-36.62,-10.02,-50.993,123.223,44.966,103.03,-45.77,54.35,18.94,20.12,24.56,48.71,58.87,76.25,76.93,65.4,69.32,61.25,-162.56,-209.36,15.57,94.16
208.753,-6.98,-5.46,15.59,-9.16,-18.08,26.67,-15.96,-29.68,36.25,-22.13,880.769,365.574,139.77,139.77,271.78,178.97,-72.614,-30.29,76.14,3.04,-411.538,-442.308,-31.58,-12.03,22.05,-101.681,119.313,4.918,118.96,-37.06,37.34,28.7,31.23,26.99,49.29,71.1,75.31,92.38,67.64,71.94,69.46,-137.92,-185,20.66,95.71
209.23,7.81,-4.68,18.76,-5.45,-12.79,46.14,-5.11,-18.58,46.9,-20.25,1231.579,288.406,126.94,126.94,253.31,122.2,-95.876,-59.794,80.92,14.31,-715.789,-531.579,-1.11,4.074,35.97,-168.919,155.422,-75.362,127.86,-25.94,14.8,40.73,45.22,14.02,51.84,85.48,86.17,103.86,68.66,65.76,61.72,-105.75,-148.28,17.01,91.13
209.707,12.49,3.59,17.17,-0.72,-12.77,46.39,1.19,-11.03,67.3,-63,1628.571,183.158,146.42,146.42,244.16,105.63,-88.398,-59.116,80.14,-8.21,4.45E+15,3.04E+15,5.25,-1.639,42.8,-316.216,264.602,-54.737,162.11,-32.84,-6.83,36.83,58.82,12.05,47.6,77.8,95.35,104.2,65.9,61.15,65.55,-106.12,-147.84,13.7,96.75
